,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,6,6,aide,help
7,8,8,genre,kind
8,9,9,mois,month
9,11,11,laisser,let
10,12,12,car,because
11,13,13,mettre,to put
12,14,14,aucun,no
13,15,15,laisse,leash
14,16,16,eux,them
15,17,17,ville,city
16,18,18,chaque,each
17,19,19,parlé,speak
18,20,20,arrivé,come
19,21,21,devrait,should
20,23,23,longtemps,long time
21,24,24,heures,hours
22,26,26,pendant,while
23,27,27,revoir,meet again
24,28,28,aucune,any
25,29,29,place,square
26,30,30,parle,speak
27,31,31,compris,understood
28,32,32,savais,knew
29,33,33,étaient,were
30,34,34,attention,Warning
31,35,35,voici,here is
32,36,36,pourrais,could
33,37,37,affaire,case
34,38,38,donner,give
35,39,39,type,type
36,40,40,leurs,their
37,41,41,donné,given
38,42,43,corps,body
39,43,44,endroit,place
40,44,45,yeux,eyes
41,45,46,façon,way
42,46,47,écoute,listen
43,47,48,dont,whose
44,48,49,trouve,find
45,49,50,premier,first
46,50,51,perdu,lost
47,51,52,main,hand
48,52,53,première,first
49,53,54,côté,side
50,54,55,pouvoir,power
51,55,56,vieux,old
52,56,57,sois,be
53,57,58,tiens,here
54,58,59,matin,morning
55,59,60,tellement,so much
56,60,61,enfant,child
57,61,62,point,point
58,62,63,venu,came
59,63,64,suite,after
60,64,65,pardon,sorry
61,65,66,venez,come
62,66,67,devant,in front of
63,67,68,minutes,minutes
64,68,69,demandé,request
65,69,70,chambre,bedroom
66,70,71,mis,placed
67,71,72,belle,beautiful
68,73,75,aujourd'hui,today
69,74,76,mari,husband
70,76,78,enfin,finally
71,77,79,espère,hope
72,78,80,eau,water
73,79,81,attendez,Wait
74,81,83,nouvelle,new
75,82,84,boulot,job
76,83,85,arrêter,Stop
77,84,86,dirait,would say
78,85,87,terre,Earth
79,86,88,compte,account
80,87,89,donne,given
81,88,90,loin,far
82,89,91,fin,end
83,90,92,croire,believe
84,91,93,chérie,sweetheart
85,92,94,gros,large
86,93,95,plutôt,rather
87,94,96,aura,will have
88,95,97,filles,girls
89,97,99,bureau,office
